Year,Week,Day,Date,Time,Scoretype,WL,Team,Opp,TmScore,OppScore,off_1stD,off_TotYd,off_ PassY,off_RushY,off_TO,def_1stD,def_TotYd,def_PassY,def_RushY,def_TO
2008,1,Sun,7-Sep,1:04PM ET,boxscore,W,Atlanta Falcons,Detroit Lions,34,21,23,474,156,318,,21,316,246,70,1
2008,2,Sun,14-Sep,4:05PM ET,boxscore,L,Atlanta Falcons,Tampa Bay Buccaneers,9,24,14,234,129,105,2,15,311,147,164,1
2008,3,Sun,21-Sep,1:02PM ET,boxscore,W,Atlanta Falcons,Kansas City Chiefs,38,14,16,378,192,186,1,17,301,117,184,3
2008,4,Sun,28-Sep,1:04PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,9,24,17,268,150,118,,19,401,294,107,
2008,5,Sun,5-Oct,1:02PM ET,boxscore,W,Atlanta Falcons,Green Bay Packers,27,24,22,370,194,176,1,21,408,304,104,1
2008,6,Sun,12-Oct,1:02PM ET,boxscore,W,Atlanta Falcons,Chicago Bears,22,20,18,376,301,75,1,22,361,282,79,1
2008,8,Sun,26-Oct,1:02PM ET,boxscore,L,Atlanta Falcons,Philadelphia Eagles,14,27,19,335,258,77,3,24,432,240,192,1
2008,9,Sun,2-Nov,4:15PM ET,boxscore,W,Atlanta Falcons,Oakland Raiders,24,0,30,453,201,252,1,3,77,10,67,2
2008,10,Sun,9-Nov,1:03PM ET,boxscore,W,Atlanta Falcons,New Orleans Saints,34,20,18,361,248,113,,25,521,416,105,3
2008,11,Sun,16-Nov,1:02PM ET,boxscore,L,Atlanta Falcons,Denver Broncos,20,24,20,364,250,114,1,19,332,208,124,
2008,12,Sun,23-Nov,4:15PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,45,28,21,392,259,133,1,22,408,274,134,
2008,13,Sun,30-Nov,4:05PM ET,boxscore,W,Atlanta Falcons,San Diego Chargers,22,16,20,348,207,141,3,12,201,131,70,
2008,14,Sun,7-Dec,1:02PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,25,29,22,414,315,99,1,24,414,230,184,
2008,15,Sun,14-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,13,10,18,373,198,175,3,19,325,226,99,1
2008,16,Sun,21-Dec,4:15PM ET,boxscore,W,Atlanta Falcons,Minnesota Vikings,24,17,18,222,124,98,,24,350,195,155,4
2008,17,Sun,28-Dec,1:02PM ET,boxscore,W,Atlanta Falcons,St. Louis Rams,31,27,17,417,154,263,3,22,408,206,202,
2009,1,Sun,13-Sep,1:05PM ET,boxscore,W,Atlanta Falcons,Miami Dolphins,19,7,19,281,213,68,,16,259,163,96,4
2009,2,Sun,20-Sep,1:02PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,28,20,23,371,220,151,2,24,440,296,144,2
2009,3,Sun,27-Sep,1:02PM ET,boxscore,L,Atlanta Falcons,New England Patriots,10,26,13,257,199,58,1,28,445,277,168,
2009,5,Sun,11-Oct,4:05PM ET,boxscore,W,Atlanta Falcons,San Francisco 49ers,45,10,28,477,329,148,2,13,279,179,100,3
2009,6,Sun,18-Oct,8:30PM ET,boxscore,W,Atlanta Falcons,Chicago Bears,21,14,16,253,185,68,2,21,373,290,83,3
2009,7,Sun,25-Oct,4:15PM ET,boxscore,L,Atlanta Falcons,Dallas Cowboys,21,37,21,298,174,124,3,18,414,299,115,1
2009,8,Mon,2-Nov,8:40PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,27,35,21,442,281,161,3,23,437,291,146,4
2009,9,Sun,8-Nov,1:03PM ET,boxscore,W,Atlanta Falcons,Washington Redskins,31,17,18,306,125,181,1,17,312,176,136,1
2009,10,Sun,15-Nov,1:03PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,19,28,22,400,224,176,2,19,380,195,185,
2009,11,Sun,22-Nov,1:03PM ET,boxscore,L,Atlanta Falcons,New York Giants,31,34,27,352,262,90,1,26,456,368,88,1
2009,12,Sun,29-Nov,1:03PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,20,17,21,297,222,75,1,13,318,245,73,1
2009,13,Sun,6-Dec,1:03PM ET,boxscore,L,Atlanta Falcons,Philadelphia Eagles,7,34,22,295,234,61,3,20,380,277,103,
2009,14,Sun,13-Dec,1:02PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,23,26,19,392,303,89,1,24,391,296,95,
2009,15,Sun,20-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,New York Jets,10,7,12,238,152,86,,17,314,215,99,3
2009,16,Sun,27-Dec,1:02PM ET,boxscore,W,Atlanta Falcons,Buffalo Bills,31,3,24,391,234,157,,11,178,138,40,3
2009,17,Sun,3-Jan,1:03PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,20,10,24,397,214,183,3,13,206,166,40,2
2010,1,Sun,12-Sep,1:02PM ET,boxscore,L,Atlanta Falcons,Pittsburgh Steelers,9,15,18,295,237,58,1,14,354,211,143,1
2010,2,Sun,19-Sep,1:03PM ET,boxscore,W,Atlanta Falcons,Arizona Cardinals,41,7,33,444,223,221,1,11,267,149,118,3
2010,3,Sun,26-Sep,1:03PM ET,boxscore,W,Atlanta Falcons,New Orleans Saints,27,24,25,417,215,202,1,20,398,355,43,3
2010,4,Sun,3-Oct,1:03PM ET,boxscore,W,Atlanta Falcons,San Francisco 49ers,16,14,23,357,259,98,2,17,262,181,81,3
2010,5,Sun,10-Oct,1:03PM ET,boxscore,W,Atlanta Falcons,Cleveland Browns,20,10,17,338,173,165,1,18,269,221,48,3
2010,6,Sun,17-Oct,1:02PM ET,boxscore,L,Atlanta Falcons,Philadelphia Eagles,17,31,20,293,228,65,2,23,474,320,154,1
2010,7,Sun,24-Oct,1:05PM ET,boxscore,W,Atlanta Falcons,Cincinnati Bengals,39,32,22,452,299,153,2,28,469,385,84,1
2010,9,Sun,7-Nov,1:02PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,27,21,26,365,235,130,,14,278,182,96,2
2010,10,Thu,11-Nov,8:31PM ET,boxscore,W,Atlanta Falcons,Baltimore Ravens,26,21,23,362,302,60,,20,320,204,116,2
2010,11,Sun,21-Nov,4:05PM ET,boxscore,W,Atlanta Falcons,St. Louis Rams,34,17,24,391,253,138,,15,304,233,71,1
2010,12,Sun,28-Nov,1:02PM ET,boxscore,W,Atlanta Falcons,Green Bay Packers,20,17,19,294,177,117,,22,418,341,77,1
2010,13,Sun,5-Dec,4:16PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,28,24,20,290,205,85,2,19,325,174,151,1
2010,14,Sun,12-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,31,10,24,327,200,127,1,13,288,76,212,2
2010,15,Sun,19-Dec,4:06PM ET,boxscore,W,Atlanta Falcons,Seattle Seahawks,34,18,21,266,168,98,1,15,234,143,91,3
2010,16,Mon,27-Dec,8:40PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,14,17,14,215,140,75,2,23,368,296,72,2
2010,17,Sun,2-Jan,1:03PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,31,10,24,352,253,99,1,12,291,154,137,2
2011,1,Sun,11-Sep,1:06PM ET,boxscore,L,Atlanta Falcons,Chicago Bears,12,30,25,386,276,110,3,17,377,289,88,1
2011,2,Sun,18-Sep,8:30PM ET,boxscore,W,Atlanta Falcons,Philadelphia Eagles,35,31,20,318,180,138,2,27,447,314,133,3
2011,3,Sun,25-Sep,4:16PM ET,boxscore,L,Atlanta Falcons,Tampa Bay Buccaneers,13,16,21,325,295,30,3,20,295,180,115,2
2011,4,Sun,2-Oct,4:05PM ET,boxscore,W,Atlanta Falcons,Seattle Seahawks,30,28,25,412,291,121,,20,372,319,53,2
2011,5,Sun,9-Oct,8:30PM ET,boxscore,L,Atlanta Falcons,Green Bay Packers,14,25,18,251,156,95,2,19,426,369,57,1
2011,6,Sun,16-Oct,1:02PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,31,17,24,325,159,166,,24,368,229,139,3
2011,7,Sun,23-Oct,1:05PM ET,boxscore,W,Atlanta Falcons,Detroit Lions,23,16,22,328,199,129,2,13,263,159,104,1
2011,9,Sun,6-Nov,1:02PM ET,boxscore,W,Atlanta Falcons,Indianapolis Colts,31,7,21,432,269,163,1,10,186,103,83,2
2011,10,Sun,13-Nov,1:03PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,23,26,30,481,343,138,1,18,363,322,41,
2011,11,Sun,20-Nov,4:15PM ET,boxscore,W,Atlanta Falcons,Tennessee Titans,23,17,25,432,316,116,1,17,298,257,41,1
2011,12,Sun,27-Nov,1:02PM ET,boxscore,W,Atlanta Falcons,Minnesota Vikings,24,14,22,335,246,89,1,12,226,162,64,
2011,13,Sun,4-Dec,1:03PM ET,boxscore,L,Atlanta Falcons,Houston Texans,10,17,18,337,267,70,2,20,337,175,162,1
2011,14,Sun,11-Dec,1:04PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,31,23,18,394,308,86,,19,416,259,157,2
2011,15,Thu,15-Dec,8:29PM ET,boxscore,W,Atlanta Falcons,Jacksonville Jaguars,41,14,20,373,276,97,,12,207,91,116,4
2011,16,Mon,26-Dec,8:40PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,16,45,23,469,434,35,1,26,463,299,164,2
2011,17,Sun,1-Jan,4:17PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,45,24,22,428,177,251,2,18,294,259,35,4
2012,1,Sun,9-Sep,1:03PM ET,boxscore,W,Atlanta Falcons,Kansas City Chiefs,40,24,21,376,292,84,,22,393,241,152,3
2012,2,Mon,17-Sep,8:41PM ET,boxscore,W,Atlanta Falcons,Denver Broncos,27,21,22,275,208,67,,24,336,218,118,4
2012,3,Sun,23-Sep,4:05PM ET,boxscore,W,Atlanta Falcons,San Diego Chargers,27,3,25,384,265,119,1,15,280,164,116,4
2012,4,Sun,30-Sep,1:03PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,30,28,24,426,305,121,1,21,404,205,199,1
2012,5,Sun,7-Oct,1:04PM ET,boxscore,W,Atlanta Falcons,Washington Redskins,24,17,28,421,338,83,2,12,316,187,129,2
2012,6,Sun,14-Oct,1:01PM ET,boxscore,W,Atlanta Falcons,Oakland Raiders,23,20,16,286,241,45,3,22,474,325,149,3
2012,8,Sun,28-Oct,1:03PM ET,boxscore,W,Atlanta Falcons,Philadelphia Eagles,30,17,24,392,246,146,,20,270,178,92,
2012,9,Sun,4-Nov,8:31PM ET,boxscore,W,Atlanta Falcons,Dallas Cowboys,19,13,21,453,330,123,,18,377,312,65,
2012,10,Sun,11-Nov,1:02PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,27,31,25,454,408,46,1,21,440,292,148,1
2012,11,Sun,18-Nov,1:03PM ET,boxscore,W,Atlanta Falcons,Arizona Cardinals,23,19,20,354,296,58,6,7,178,41,137,1
2012,12,Sun,25-Nov,1:02PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,24,23,20,424,345,79,2,16,326,276,50,
2012,13,Thu,29-Nov,8:29PM ET,boxscore,W,Atlanta Falcons,New Orleans Saints,23,13,15,283,159,124,1,24,436,335,101,5
2012,14,Sun,9-Dec,1:04PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,20,30,26,362,327,35,1,23,475,280,195,
2012,15,Sun,16-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,New York Giants,34,0,22,394,265,129,,10,256,159,97,3
2012,16,Sat,22-Dec,8:40PM ET,boxscore,W,Atlanta Falcons,Detroit Lions,31,18,19,344,271,73,,25,522,443,79,3
2012,17,Sun,30-Dec,1:02PM ET,boxscore,L,Atlanta Falcons,Tampa Bay Buccaneers,17,22,15,278,213,65,,18,366,222,144,1
2013,1,Sun,8-Sep,1:03PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,17,23,18,367,279,88,2,18,419,341,78,1
2013,2,Sun,15-Sep,1:03PM ET,boxscore,W,Atlanta Falcons,St. Louis Rams,31,24,19,393,357,36,,24,421,352,69,1
2013,3,Sun,22-Sep,4:05PM ET,boxscore,L,Atlanta Falcons,Miami Dolphins,23,27,24,377,231,146,2,16,285,195,90,2
2013,4,Sun,29-Sep,8:30PM ET,boxscore,L,Atlanta Falcons,New England Patriots,23,30,26,457,399,58,1,21,448,316,132,
2013,5,Mon,7-Oct,8:40PM ET,boxscore,L,Atlanta Falcons,New York Jets,28,30,26,363,299,64,1,15,288,170,118,
2013,7,Sun,20-Oct,1:02PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,31,23,15,291,273,18,1,23,337,226,111,1
2013,8,Sun,27-Oct,4:25PM ET,boxscore,L,Atlanta Falcons,Arizona Cardinals,13,27,20,292,265,27,4,17,348,147,201,1
2013,9,Sun,3-Nov,1:03PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,10,34,12,289,211,78,4,27,373,242,131,2
2013,10,Sun,10-Nov,1:03PM ET,boxscore,L,Atlanta Falcons,Seattle Seahawks,10,33,16,226,162,64,1,25,490,279,211,
2013,11,Sun,17-Nov,1:03PM ET,boxscore,L,Atlanta Falcons,Tampa Bay Buccaneers,28,41,24,420,268,152,3,24,410,224,186,
2013,12,Thu,21-Nov,8:30PM ET,boxscore,L,Atlanta Falcons,New Orleans Saints,13,17,22,355,264,91,1,19,374,271,103,
2013,13,Sun,1-Dec,4:05PM ET,boxscore,W,Atlanta Falcons,Buffalo Bills,34,31,26,423,272,151,1,19,405,210,195,2
2013,14,Sun,8-Dec,1:02PM ET,boxscore,L,Atlanta Falcons,Green Bay Packers,21,22,18,285,202,83,2,20,334,222,112,2
2013,15,Sun,15-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,Washington Redskins,27,26,19,243,189,54,2,22,476,373,103,7
2013,16,Mon,23-Dec,8:40PM ET,boxscore,L,Atlanta Falcons,San Francisco 49ers,24,34,25,402,341,61,2,20,379,180,199,
2013,17,Sun,29-Dec,1:05PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,20,21,20,307,231,76,1,16,283,149,134,2
2014,1,Sun,7-Sep,1:03PM ET,boxscore,W,Atlanta Falcons,New Orleans Saints,37,34,28,568,445,123,1,30,472,333,139,2
2014,2,Sun,14-Sep,1:05PM ET,boxscore,L,Atlanta Falcons,Cincinnati Bengals,10,24,19,309,212,97,3,21,472,302,170,
2014,3,Thu,18-Sep,8:26PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,56,14,26,488,344,144,4,10,217,153,64,5
2014,4,Sun,28-Sep,4:25PM ET,boxscore,L,Atlanta Falcons,Minnesota Vikings,28,41,23,411,288,123,2,26,558,317,241,
2014,5,Sun,5-Oct,1:03PM ET,boxscore,L,Atlanta Falcons,New York Giants,20,30,20,397,307,90,1,22,317,193,124,2
2014,6,Sun,12-Oct,4:25PM ET,boxscore,L,Atlanta Falcons,Chicago Bears,13,27,12,287,245,42,1,23,478,375,103,
2014,7,Sun,19-Oct,1:02PM ET,boxscore,L,Atlanta Falcons,Baltimore Ravens,7,29,16,254,186,68,1,23,371,248,123,3
2014,8,Sun,26-Oct,9:37AM ET,boxscore,L,Atlanta Falcons,Detroit Lions,21,22,22,291,213,78,1,22,385,325,60,1
2014,10,Sun,9-Nov,1:04PM ET,boxscore,W,Atlanta Falcons,Tampa Bay Buccaneers,27,17,19,322,212,110,,23,373,281,92,3
2014,11,Sun,16-Nov,1:03PM ET,boxscore,W,Atlanta Falcons,Carolina Panthers,19,17,22,346,260,86,1,22,391,285,106,2
2014,12,Sun,23-Nov,1:02PM ET,boxscore,L,Atlanta Falcons,Cleveland Browns,24,26,21,315,252,63,2,29,475,313,162,3
2014,13,Sun,30-Nov,4:05PM ET,boxscore,W,Atlanta Falcons,Arizona Cardinals,29,18,22,500,358,142,1,18,329,294,35,3
2014,14,Mon,8-Dec,8:30PM ET,boxscore,L,Atlanta Falcons,Green Bay Packers,37,43,26,465,374,91,1,28,502,323,179,
2014,15,Sun,14-Dec,1:02PM ET,boxscore,L,Atlanta Falcons,Pittsburgh Steelers,20,27,20,407,310,97,1,22,398,353,45,
2014,16,Sun,21-Dec,1:03PM ET,boxscore,W,Atlanta Falcons,New Orleans Saints,30,14,18,403,322,81,,22,328,271,57,4
2014,17,Sun,28-Dec,4:25PM ET,boxscore,L,Atlanta Falcons,Carolina Panthers,3,34,16,288,225,63,3,17,306,112,194,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
